Amount - Order Shipping,Amount - Order Tax,Amount - Order Total,Amount - Paid by Customer,Amount - Shipping Cost,Bill To - Name,Carrier - Carrier Selected,Carrier - Service Requested,Carrier - Service Selected,Custom - Field 1,Custom - Field 2,Custom - Field 3,Customer Email,Customs - Package Contents,Date - Hold Until,Date - Order Date,Date - Paid Date,Date - Shipped Date,Gift - Flag,Gift - Message,Insurance - Cost,Insurance - Insured Value,Insurance - Provider,Item - Category,Item - Cost,Item - Cost Extended,Item - Fill SKU,Item - Image URL,Item - ISBN,Item - Location,Item - Name,Item - Options,Item - Origin Country Code,Item - Price,Item - Qty,Item - SKU,Item - UPC,Item - Weight,Item - Weight (oz),Market - Markeplace Name,Market - Market Order URL,Market - Store Name,Notes - From Buyer,Notes - Internal,Notes - To Buyer,Order - Number,Order - Pay Method,Order - Status,Order - Weight,Service - Confirmation Type,Service - Package Type,Ship To - Address 1,Ship To - Address 2,Ship To - Address 3,Ship To - City,Ship To - Company,Ship To - Country,Ship To - Name,Ship To - Phone,Ship To - Postal Code,Ship To - Residential Flag,Ship To - State,Ship To - Verified Flag,Ship To - Zone,Source
"19.67","0.00","122.03","122.03","8.98","Sandra Wheeler","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"sandie@wheeler2017.com",,,"11/21/2017 3:58:29 PM","11/21/2017 3:58:29 PM",,"False",,"0.00","122.03","0",,"25.00","59.95",,"http://store-92s45rxp4.mybigcommerce.com/product_images/o/321/Tamales_expanding_palates__17937.jpg","704","","Holiday Gift Pack of Gourmet Tamales",,,"59.95","1","301TAMCOM000",,"160.0","160.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"748","PayPal","Awaiting Shipment","259.2","None","Package","28518 LAZY ROCK DR","",,"HUFFMAN","","US","Sandra Wheeler","8322176912","77336-4565","R","TX","1","3","iphone"
"19.67","0.00","122.03","122.03","8.98","Sandra Wheeler","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"sandie@wheeler2017.com",,,"11/21/2017 3:58:29 PM","11/21/2017 3:58:29 PM",,"False",,"0.00","122.03","0",,"2.76","11.90",,"http://store-92s45rxp4.mybigcommerce.com/product_images/v/469/Queso_from_Texas_Chili_Co_large__94280.jpg","704","","Cheesy Queso with Hatch Chiles - 16 oz.",,,"5.95","2","230QUECLA003",,"17.6","17.60","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"748","PayPal","Awaiting Shipment","259.2","None","Package","28518 LAZY ROCK DR","",,"HUFFMAN","","US","Sandra Wheeler","8322176912","77336-4565","R","TX","1","3","iphone"
"19.67","0.00","122.03","122.03","8.98","Sandra Wheeler","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"sandie@wheeler2017.com",,,"11/21/2017 3:58:29 PM","11/21/2017 3:58:29 PM",,"False",,"0.00","122.03","0",,,"-5.39",,"http://images.shipstation.com/resource/1.gif",,,"Discount",,,"-5.39","1",,,"0.0","0.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"748","PayPal","Awaiting Shipment","259.2","None","Package","28518 LAZY ROCK DR","",,"HUFFMAN","","US","Sandra Wheeler","8322176912","77336-4565","R","TX","1","3","iphone"
"53.19","0.00","100.99","100.99","0.00","Jamal Nelson",,"FedEx (Standard Overnight)",,,,,"Genesis.Keller@educationalequity.org",,,"11/21/2017 6:30:02 PM","11/21/2017 6:30:02 PM",,"False",,"0.00","100.99","0",,"6.25","17.95",,"http://store-92s45rxp4.mybigcommerce.com/product_images/w/392/Spinach_Tamales__94936.png","706","","Gourmet Black Bean VEGAN Tamales","Amount of Tamales: Dozen",,"17.95","1","143TAMVGN001",,"32.0","32.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"750","Credit/Debit Card","Awaiting Shipment","80.0","None",,"3508 RED FOX WAY","",,"EL PASO","","US","Carol Ceniceros","202-578-4375","79936-1225","R","TX","1","4","www"
"53.19","0.00","100.99","100.99","0.00","Jamal Nelson",,"FedEx (Standard Overnight)",,,,,"Genesis.Keller@educationalequity.org",,,"11/21/2017 6:30:02 PM","11/21/2017 6:30:02 PM",,"False",,"0.00","100.99","0",,"3.13","9.95",,"http://store-92s45rxp4.mybigcommerce.com/product_images/g/778/Texas_Lone_StarTamales_-_Pork_Tamales__30693.jpg","706","","Gourmet Pork Tamales","Amount of Tamales: Half-Doz.",,"9.95","1","102TAMPOR005",,"16.0","16.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"750","Credit/Debit Card","Awaiting Shipment","80.0","None",,"3508 RED FOX WAY","",,"EL PASO","","US","Carol Ceniceros","202-578-4375","79936-1225","R","TX","1","4","www"
"53.19","0.00","100.99","100.99","0.00","Jamal Nelson",,"FedEx (Standard Overnight)",,,,,"Genesis.Keller@educationalequity.org",,,"11/21/2017 6:30:02 PM","11/21/2017 6:30:02 PM",,"False",,"0.00","100.99","0",,"3.13","9.95",,"http://store-92s45rxp4.mybigcommerce.com/product_images/f/150/Texas_Lone_Star_Tamales_-_Chicken_Tamales__43373.jpg","706","","Gourmet Chicken Tamales","Amount of Tamales: Half-Doz.",,"9.95","1","132TAMCHI005",,"16.0","16.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"750","Credit/Debit Card","Awaiting Shipment","80.0","None",,"3508 RED FOX WAY","",,"EL PASO","","US","Carol Ceniceros","202-578-4375","79936-1225","R","TX","1","4","www"
"53.19","0.00","100.99","100.99","0.00","Jamal Nelson",,"FedEx (Standard Overnight)",,,,,"Genesis.Keller@educationalequity.org",,,"11/21/2017 6:30:02 PM","11/21/2017 6:30:02 PM",,"False",,"0.00","100.99","0",,"3.13","9.95",,"http://store-92s45rxp4.mybigcommerce.com/product_images/c/946/Sweet_Creamy_Pumpkin_Tamales__16126.JPG","706","","Sweet Creamy Pumpkin Tamales","Amount of Tamales: Half-Doz.",,"9.95","1","154TAMSMP001",,"16.0","16.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"750","Credit/Debit Card","Awaiting Shipment","80.0","None",,"3508 RED FOX WAY","",,"EL PASO","","US","Carol Ceniceros","202-578-4375","79936-1225","R","TX","1","4","www"
"21.20","0.00","57.10","57.10","9.05","Rodolfo Sabala","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"sabalar@gmx.com",,,"11/21/2017 8:45:51 PM","11/21/2017 8:45:51 PM",,"False",,"0.00","57.10","0",,"6.25","17.95",,"http://store-92s45rxp4.mybigcommerce.com/product_images/e/071/Habanero_Chicken_Tamales__46745.png","707","","Gourmet Habanero Chicken Tamales","Amount of Tamales: Dozen",,"17.95","1","134TAMCHI008",,"32.0","32.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"751","PayPal","Awaiting Shipment","64.0","None","Package","645 NE 115TH ST","",,"BISCAYNE PARK","","US","Rodolfo Sabala","3058958922","33161-6203","R","FL","1","6","android"
"21.20","0.00","57.10","57.10","9.05","Rodolfo Sabala","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"sabalar@gmx.com",,,"11/21/2017 8:45:51 PM","11/21/2017 8:45:51 PM",,"False",,"0.00","57.10","0",,"6.25","17.95",,"http://store-92s45rxp4.mybigcommerce.com/product_images/k/358/Traditional_Beef_Tamales__29183.jpg","707","","Gourmet Habanero Beef Tamales","Amount of Tamales: Dozen",,"17.95","1","124TAMBEE008",,"32.0","32.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"751","PayPal","Awaiting Shipment","64.0","None","Package","645 NE 115TH ST","",,"BISCAYNE PARK","","US","Rodolfo Sabala","3058958922","33161-6203","R","FL","1","6","android"
"18.99","0.00","61.94","61.94","7.60","Timothy Brandon","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"Aggro013@aol.com",,,"11/22/2017 4:25:50 AM","11/22/2017 4:25:50 AM",,"False",,"0.00","61.94","0",,"15.75","42.95",,"http://store-92s45rxp4.mybigcommerce.com/product_images/s/413/Green_Salsa_2_1_of_1__90489.jpg","708","","NEW Tamale Lovers Pack",,,"42.95","1","300TAMCOM000",,"80.0","80.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"752","PayPal","Awaiting Shipment","80.0","None","Package","2719 ROYAL AVE","",,"LAKE CHARLES","","US","Timothy Brandon","4097716715","70607-7862","R","LA","1","4","iphone"
"17.42","0.00","71.27","71.27","8.77","Johnny Cortinez","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"anita.cortinez@yahoo.com",,,"11/22/2017 7:13:20 AM","11/22/2017 7:13:20 AM",,"False",,"0.00","71.27","0",,"6.25","17.95",,"http://store-92s45rxp4.mybigcommerce.com/product_images/e/071/Habanero_Chicken_Tamales__46745.png","709","","Gourmet Habanero Chicken Tamales","Amount of Tamales: Dozen",,"17.95","1","134TAMCHI008",,"32.0","32.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"753","Credit/Debit Card","Awaiting Shipment","96.0","None","Package","3912 CASTLEWOOD CT","",,"SOMERSET","","US","Johnny Cortinez","6066571798","42503-8729","R","KY","1","5","android"
"17.42","0.00","71.27","71.27","8.77","Johnny Cortinez","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"anita.cortinez@yahoo.com",,,"11/22/2017 7:13:20 AM","11/22/2017 7:13:20 AM",,"False",,"0.00","71.27","0",,"6.25","17.95",,"http://store-92s45rxp4.mybigcommerce.com/product_images/f/150/Texas_Lone_Star_Tamales_-_Chicken_Tamales__43373.jpg","709","","Gourmet Chicken Tamales","Amount of Tamales: Dozen",,"17.95","1","131TAMCHI005",,"32.0","32.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"753","Credit/Debit Card","Awaiting Shipment","96.0","None","Package","3912 CASTLEWOOD CT","",,"SOMERSET","","US","Johnny Cortinez","6066571798","42503-8729","R","KY","1","5","android"
"17.42","0.00","71.27","71.27","8.77","Johnny Cortinez","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"anita.cortinez@yahoo.com",,,"11/22/2017 7:13:20 AM","11/22/2017 7:13:20 AM",,"False",,"0.00","71.27","0",,"6.25","17.95",,"http://store-92s45rxp4.mybigcommerce.com/product_images/v/696/Tamales_w_pepper__01257.jpg","709","","Gourmet Habanero Pork Tamales","Amount of Tamales: Dozen",,"17.95","1","107TAMPOR008",,"32.0","32.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"753","Credit/Debit Card","Awaiting Shipment","96.0","None","Package","3912 CASTLEWOOD CT","",,"SOMERSET","","US","Johnny Cortinez","6066571798","42503-8729","R","KY","1","5","android"
